1.000000000000000000e+01,1.482025316455696240e+00,8.000000000000007105e-02
1.315789473684210620e+01,1.284010659560292922e+00,8.000000000000007105e-02
1.631578947368421240e+01,1.165143237841439028e+00,7.999999999999984901e-02
1.947368421052631504e+01,1.026803464357095352e+00,3.200000000000002842e-02
2.263157894736842124e+01,9.265023317788143586e-01,4.000000000000003553e-02
2.578947368421052744e+01,8.570872751499001296e-01,2.400000000000002132e-02
2.894736842105263008e+01,7.983904063957362185e-01,3.200000000000002842e-02
3.210526315789473983e+01,7.580119920053296489e-01,3.200000000000002842e-02
3.526315789473684248e+01,6.983504330446368424e-01,3.199999999999991740e-02
3.842105263157894512e+01,6.711898734177214054e-01,6.399999999999994582e-02
4.157894736842105488e+01,6.318880746169219798e-01,6.400000000000005684e-02
4.473684210526315752e+01,6.318614257161890846e-01,6.400000000000005684e-02
4.789473684210526017e+01,5.924796802131910844e-01,7.199999999999995293e-02
5.105263157894736992e+01,5.724610259826783398e-01,6.399999999999994582e-02
5.421052631578947256e+01,5.539720186542305136e-01,5.599999999999993872e-02
5.736842105263158231e+01,5.307448367754830088e-01,5.600000000000004974e-02
6.052631578947368496e+01,4.966822118587608248e-01,2.400000000000002132e-02
6.368421052631578760e+01,4.761305796135909540e-01,2.399999999999996581e-02
6.684210526315789025e+01,4.552378414390407246e-01,3.200000000000002842e-02
7.000000000000000000e+01,4.361092604930047467e-01,2.400000000000002132e-02
